5154620017074434|04|2032|047
5154620017043561|08|2025|701
5154620017015767|03|2028|020
5154620017041623|07|2024|353
5154620017023670|04|2028|511
5154620017082742|06|2024|530
5154620017031426|12|2025|626
5154620017083708|01|2030|768
5154620017004886|10|2027|734
5154620017044213|01|2027|362
5154620017003862|10|2031|667
5154620017064625|06|2026|921
5154620017013432|10|2028|410
5154620017078716|08|2030|753
5154620017031608|10|2025|207
5154620017076835|03|2028|271
5154620017072735|01|2026|519
5154620017057322|09|2027|182
5154620017038678|02|2030|216
5154620017060383|09|2029|481
5154620017078351|09|2030|789
5154620017008580|04|2028|064
5154620017050277|02|2024|456
5154620017087261|09|2032|860
5154620017077312|11|2027|866
5154620017003185|09|2026|669
5154620017074350|10|2030|003
5154620017046788|07|2032|559
5154620017080423|09|2028|258
5154620017053305|03|2024|296
5154620017071356|04|2029|379
5154620017027721|11|2031|191
5154620017056787|04|2030|559
5154620017087675|05|2027|967
5154620017083443|03|2032|082
5154620017063031|02|2028|658
5154620017034834|02|2025|884
5154620017031632|06|2030|951
5154620017084854|02|2027|508
5154620017002385|08|2030|418
5154620017061647|11|2030|411
5154620017027473|06|2032|221
